effectiveDate,id,firstName,lastName,prefix,managerId,country,line1,city,zipCode,lastHireDate,originalHireDate,active,absent,timeZone
2025-01-01,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-27,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-04-01,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-04-25,21045,Nada,Neuschäfer,null,2572,DEU,Ingeburg-Junk-Allee 1,Pirmasens,98186,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-04,21104,Iris,Baum,Herr,null,DEU,Hanna-Pärtzelt-Straße 4,Stadtsteinach,52974,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-08-07,21104,Iris,Baum,Herr,null,DEU,Hanna-Pärtzelt-Straße 4,Stadtsteinach,52974,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-08-30,21104,Iris,Baum,Herr,14452,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-09-01,21104,Iris,Baum,Herr,14452,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-09-04,21104,Heinz-Walter,Baum,Herr,14452,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-09-27,21104,Heinz-Walter,Baum,Herr,14452,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-09-30,21104,Heinz-Walter,Baum,Herr,14452,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-23,21104,Heinz-Walter,Baum,Herr,14452,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-26,21104,Heinz-Walter,Baum,Herr,14452,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-01-31,21104,Heinz-Walter,Baum,Herr,29728,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-02-01,21104,Heinz-Walter,Baum,Herr,29728,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-01,21104,Heinz-Walter,Baum,Herr,29728,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-27,21104,Heinz-Walter,Baum,Herr,29728,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-05-13,21104,Heinz-Walter,Baum,Herr,29728,DEU,Wendeweg 07,Gunzenhausen,78862,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-05-03,21142,Philipp,Pohl,null,null,null,null,null,null,null,null,true,false,null
2025-05-07,21142,Philipp,Pohl,null,null,null,null,null,null,null,null,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-05-06,21222,Janet,Haase,null,null,null,null,null,null,null,null,true,false,null
2024-07-04,21285,Dietlinde,Ruppert,null,null,DEU,Jacobplatz 889,Gelnhausen,57642,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-07-05,21285,Dietlinde,Ruppert,null,null,DEU,Jacobplatz 889,Gelnhausen,57642,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-07-31,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-08-01,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-08-05,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-08-06,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-08-21,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-09-03,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-09-17,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-10-07,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-10-23,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-11-26,21285,Dietlinde,Ruppert,null,159,DEU,Kostolzinplatz 928,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-12-19,21285,Dietlinde,Ruppert,null,159,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2025-01-23,21285,Dietlinde,Ruppert,null,159,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-02-01,21285,Dietlinde,Ruppert,null,159,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-02-12,21285,Dietlinde,Ruppert,null,159,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-27,21285,Dietlinde,Ruppert,null,159,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-16,21294,Mirella,Etzler,null,null,DEU,Jürgen-Holsten-Ring 82,Weimar,98076,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-07-17,21294,Mirella,Etzler,null,null,DEU,Jürgen-Holsten-Ring 82,Weimar,98076,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-08-30,21294,Mirella,Etzler,null,16193,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-09-01,21294,Mirella,Etzler,null,16193,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-09-04,21294,Mirella,Etzler,null,16193,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-09-06,21294,Mirella,Etzler,null,16193,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-09-17,21294,Mirella,Etzler,null,16193,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-10-23,21294,Mirella,Etzler,null,16193,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-11-07,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-11-22,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-11-26,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2024-12-05,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2025-01-01,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,null
2025-01-23,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-02-12,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-27,21294,Mirella,Etzler,null,17823,DEU,Rädelgasse 686,Guben,85047,2024-09-01T00:00:00,2024-09-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-09-05,21312,Gertraut,Krebs,null,null,DEU,Biggengasse 076,Goslar,59031,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-09-06,21312,Gertraut,Krebs,null,null,DEU,Biggengasse 076,Goslar,59031,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-09-09,21312,Gertraut,Krebs,null,null,DEU,Biggengasse 076,Goslar,59031,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-09-30,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-10-01,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-10-07,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-10-09,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-10-23,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-11-05,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-11-26,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2025-01-23,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-02-12,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-01,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-27,21312,Gertraut,Krebs,null,14587,DEU,Carolin-Freudenberger-Weg 4,Eisenhüttenstadt,13368,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-06-28,21397,Herta,Drub,Herr,null,DEU,null,null,null,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-07-17,21397,Herta,Drub,Herr,null,DEU,null,null,null,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-09-30,21397,Herta,Drub,Herr,156,DEU,Ahmet-Schleich-Allee 2,Ingolstadt,00143,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,null
2024-10-01,21397,Herta,Drub,Herr,156,DEU,Ahmet-Schleich-Allee 2,Ingolstadt,00143,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-02,21397,Herta,Drub,Herr,58,DEU,Ahmet-Schleich-Allee 2,Ingolstadt,00143,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-21,21397,Herta,Drub,Herr,58,DEU,Ahmet-Schleich-Allee 2,Ingolstadt,00143,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-23,21397,Herta,Drub,Herr,58,DEU,Ahmet-Schleich-Allee 2,Ingolstadt,00143,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-06,21397,Herta,Drub,Herr,58,DEU,Austermühleweg 391,Ingolstadt,23541,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-22,21397,Herta,Drub,Herr,58,DEU,Austermühleweg 391,Ingolstadt,23541,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-12-16,21397,Herta,Drub,Herr,58,DEU,Austermühleweg 391,Ingolstadt,23541,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-02-12,21397,Herta,Drub,Herr,58,DEU,Austermühleweg 391,Ingolstadt,23541,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-01,21397,Herta,Drub,Herr,58,DEU,Austermühleweg 391,Ingolstadt,23541,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-27,21397,Herta,Drub,Herr,58,DEU,Austermühleweg 391,Ingolstadt,23541,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-04-02,21397,Herta,Drub,Herr,58,DEU,Austermühleweg 391,Ingolstadt,23541,2024-10-01T00:00:00,2024-10-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-05-13,21410,Ann,Stoll,Frau,null,DEU,null,null,null,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,null
2024-05-29,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,null
2024-06-01,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-06-06,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-06-14,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-01,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-17,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-26,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-29,21410,Ann,Stoll,Frau,2508,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-09-13,21410,Ann,Stoll,Frau,14030,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-23,21410,Ann,Stoll,Frau,14030,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,false,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-08,21410,Ann,Stoll,Frau,14030,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,false,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-09,21410,Ann,Stoll,Frau,14030,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,false,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-15,21410,Ann,Stoll,Frau,14030,DEU,Liebeltring 41,Pirmasens,98186,2024-06-01T00:00:00,2024-06-01T00:00:00,false,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-01-01,21434,Elif,Adler,null,null,DEU,Riehlstraße 0/8,Heinsberg,88800,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-07-09,21434,Elif,Adler,null,null,DEU,Riehlstraße 0/8,Heinsberg,88800,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-07-15,21434,Elif,Adler,null,null,DEU,Riehlstraße 0/8,Heinsberg,88800,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,null
2024-08-01,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-08-19,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-08-23,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-09-17,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-01,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-10-23,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-01,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-11-26,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-01-01,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-02-12,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2025-03-27,21434,Elif,Adler,null,255,DEU,Gerard-Liebelt-Platz 070,Kitzingen,22682,2024-08-01T00:00:00,2024-08-01T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-06-20,21475,Stilla,Baum,null,null,DEU,Klemtstr. 062,Jessen,45643,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,null
2024-07-01,21475,Stilla,Baum,null,null,DEU,Klemtstr. 062,Jessen,45643,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,null
2024-07-12,21475,Stilla,Baum,null,2647,DEU,Rose-Kraushaar-Weg 4/1,Schwäbisch Gmünd,67300,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,null
2024-07-15,21475,Stilla,Baum,null,2647,DEU,Rose-Kraushaar-Weg 4/1,Schwäbisch Gmünd,67300,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-17,21475,Stilla,Baum,null,2647,DEU,Rose-Kraushaar-Weg 4/1,Schwäbisch Gmünd,67300,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-19,21475,Stilla,Baum,null,2647,DEU,Rose-Kraushaar-Weg 4/1,Schwäbisch Gmünd,67300,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-26,21475,Stilla,Baum,null,2647,DEU,Rose-Kraushaar-Weg 4/1,Schwäbisch Gmünd,67300,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-07-29,21475,Stilla,Baum,null,2647,DEU,Rose-Kraushaar-Weg 4/1,Schwäbisch Gmünd,67300,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
2024-08-01,21475,Stilla,Baum,null,2647,DEU,Rose-Kraushaar-Weg 4/1,Schwäbisch Gmünd,67300,2024-07-15T00:00:00,2024-07-15T00:00:00,true,false,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna"
