,id,typeId,ous,last_check,firstName,lastName,prefix,managerId,lastHireDate,originalHireDate,active,timeZone,address,valid_from,valid_to
5,21045,Job-Familie,2710,2025-04-25,Nada,Neuschäfer,nan,2572,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ingeburg-Junk-Allee 1 98186, Pirmasens, DEU",2025-04-01,2025-06-17
26,21104,Organisation,1414,2024-08-30,Iris,Baum,Herr,14452,2024-09-01,2024-09-01,True,nan,"Wendeweg 07 78862, Gunzenhausen, DEU",2024-08-30,2024-08-31
38,21104,Position,743,2025-05-13,Iris,Baum,Herr,14452,2024-09-01,2024-09-01,True,nan,"Wendeweg 07 78862, Gunzenhausen, DEU",2024-08-30,2024-08-31
42,21104,Standort,2433,2025-05-13,Iris,Baum,Herr,14452,2024-09-01,2024-09-01,True,nan,"Wendeweg 07 78862, Gunzenhausen, DEU",2024-08-30,2024-08-31
31,21104,Organisation,1416,2025-01-31,Iris,Baum,Herr,14452,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2024-09-01,2024-09-03
39,21104,Position,743,2025-05-13,Iris,Baum,Herr,14452,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2024-09-01,2024-09-03
43,21104,Standort,2433,2025-05-13,Iris,Baum,Herr,14452,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2024-09-01,2024-09-03
32,21104,Organisation,1416,2025-01-31,Heinz-Walter,Baum,Herr,14452,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2024-09-04,2025-01-30
40,21104,Position,743,2025-05-13,Heinz-Walter,Baum,Herr,14452,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2024-09-04,2025-01-30
44,21104,Standort,2433,2025-05-13,Heinz-Walter,Baum,Herr,14452,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2024-09-04,2025-01-30
20,21104,Job-Familie,2710,2025-05-13,Heinz-Walter,Baum,Herr,14452,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2024-10-23,2025-01-30
21,21104,Job-Familie,2710,2025-05-13,Heinz-Walter,Baum,Herr,29728,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2025-01-31,2025-06-17
33,21104,Organisation,1416,2025-01-31,Heinz-Walter,Baum,Herr,29728,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2025-01-31,2025-01-31
41,21104,Position,743,2025-05-13,Heinz-Walter,Baum,Herr,29728,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2025-01-31,2025-06-17
45,21104,Standort,2433,2025-05-13,Heinz-Walter,Baum,Herr,29728,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2025-01-31,2025-06-17
37,21104,Organisation,2883,2025-05-13,Heinz-Walter,Baum,Herr,29728,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Wendeweg 07 78862, Gunzenhausen, DEU",2025-02-01,2025-06-17
54,21285,Organisation,2419,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Kostolzinplatz 928 22682, Kitzingen, DEU",2024-07-31,2024-12-18
57,21285,Position,689,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Kostolzinplatz 928 22682, Kitzingen, DEU",2024-07-31,2024-12-18
60,21285,Standort,408,2024-07-31,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Kostolzinplatz 928 22682, Kitzingen, DEU",2024-07-31,2024-07-31
63,21285,Standort,1105,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Kostolzinplatz 928 22682, Kitzingen, DEU",2024-08-01,2024-10-06
66,21285,Standort,2653,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Kostolzinplatz 928 22682, Kitzingen, DEU",2024-10-07,2024-12-18
48,21285,Job-Familie,2711,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Kostolzinplatz 928 22682, Kitzingen, DEU",2024-10-23,2024-12-18
49,21285,Job-Familie,2711,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-12-19,2025-01-22
55,21285,Organisation,2419,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-12-19,2025-01-22
58,21285,Position,689,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-12-19,2025-01-22
67,21285,Standort,2653,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-12-19,2025-01-22
50,21285,Job-Familie,2711,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
56,21285,Organisation,2419,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
59,21285,Position,689,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
68,21285,Standort,2653,2025-03-27,Dietlinde,Ruppert,nan,159,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
75,21294,Organisation,2600,2025-03-27,Mirella,Etzler,nan,16193,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-08-30,2024-11-06
78,21294,Position,697,2025-03-27,Mirella,Etzler,nan,16193,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-08-30,2024-11-06
81,21294,Standort,421,2025-03-27,Mirella,Etzler,nan,16193,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-08-30,2024-11-06
69,21294,Job-Familie,2706,2025-03-27,Mirella,Etzler,nan,16193,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-10-23,2024-11-06
70,21294,Job-Familie,2706,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-11-07,2025-01-22
76,21294,Organisation,2600,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-11-07,2025-01-22
79,21294,Position,697,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-11-07,2025-01-22
82,21294,Standort,421,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2024-11-07,2024-12-31
85,21294,Standort,2658,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,nan,"Rädelgasse 686 85047, Guben, DEU",2025-01-01,2025-01-22
71,21294,Job-Familie,2706,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rädelgasse 686 85047, Guben, DEU",2025-01-23,2025-06-17
77,21294,Organisation,2600,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rädelgasse 686 85047, Guben, DEU",2025-01-23,2025-06-17
80,21294,Position,697,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rädelgasse 686 85047, Guben, DEU",2025-01-23,2025-06-17
86,21294,Standort,2658,2025-03-27,Mirella,Etzler,nan,17823,2024-09-01,2024-09-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rädelgasse 686 85047, Guben, DEU",2025-01-23,2025-06-17
91,21312,Organisation,2508,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-09-30,2025-01-22
93,21312,Position,689,2024-09-30,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-09-30,2024-09-30
97,21312,Standort,1105,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-09-30,2024-10-06
95,21312,Position,1246,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-10-01,2025-01-22
99,21312,Standort,2653,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-10-07,2025-01-22
87,21312,Job-Familie,2711,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,nan,"Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2024-10-23,2025-01-22
88,21312,Job-Familie,2711,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
92,21312,Organisation,2508,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
96,21312,Position,1246,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
100,21312,Standort,2653,2025-03-27,Gertraut,Krebs,nan,14587,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Carolin-Freudenberger-Weg 4 13368, Eisenhüttenstadt, DEU",2025-01-23,2025-06-17
105,21397,Organisation,529,2024-09-30,Herta,Drub,Herr,156,2024-10-01,2024-10-01,True,nan,"Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-09-30,2024-09-30
113,21397,Position,653,2025-04-02,Herta,Drub,Herr,156,2024-10-01,2024-10-01,True,nan,"Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-09-30,2024-09-30
117,21397,Standort,430,2025-04-02,Herta,Drub,Herr,156,2024-10-01,2024-10-01,True,nan,"Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-09-30,2024-09-30
106,21397,Organisation,529,2024-09-30,Herta,Drub,Herr,156,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-10-01,2024-10-01
114,21397,Position,653,2025-04-02,Herta,Drub,Herr,156,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-10-01,2024-10-01
118,21397,Standort,430,2025-04-02,Herta,Drub,Herr,156,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-10-01,2024-10-01
107,21397,Organisation,529,2024-09-30,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-10-02,2024-11-05
115,21397,Position,653,2025-04-02,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-10-02,2024-11-05
119,21397,Standort,430,2025-04-02,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-10-02,2024-11-05
103,21397,Job-Familie,2710,2025-04-02,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Ahmet-Schleich-Allee 2 143, Ingolstadt, DEU",2024-10-23,2024-11-05
104,21397,Job-Familie,2710,2025-04-02,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Austermühleweg 391 23541, Ingolstadt, DEU",2024-11-06,2025-06-17
108,21397,Organisation,529,2024-09-30,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Austermühleweg 391 23541, Ingolstadt, DEU",2024-11-06,2025-06-17
116,21397,Position,653,2025-04-02,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Austermühleweg 391 23541, Ingolstadt, DEU",2024-11-06,2025-06-17
120,21397,Standort,430,2025-04-02,Herta,Drub,Herr,58,2024-10-01,2024-10-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Austermühleweg 391 23541, Ingolstadt, DEU",2024-11-06,2025-06-17
129,21410,Organisation,856,2024-07-29,Ann,Stoll,Frau,2508,2024-06-01,2024-06-01,True,nan,"Liebeltring 41 98186, Pirmasens, DEU",2024-05-29,2024-05-31
137,21410,Position,770,2024-11-15,Ann,Stoll,Frau,2508,2024-06-01,2024-06-01,True,nan,"Liebeltring 41 98186, Pirmasens, DEU",2024-05-29,2024-05-31
141,21410,Standort,413,2024-11-15,Ann,Stoll,Frau,2508,2024-06-01,2024-06-01,True,nan,"Liebeltring 41 98186, Pirmasens, DEU",2024-05-29,2024-05-31
130,21410,Organisation,856,2024-07-29,Ann,Stoll,Frau,2508,2024-06-01,2024-06-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-06-01,2024-09-12
138,21410,Position,770,2024-11-15,Ann,Stoll,Frau,2508,2024-06-01,2024-06-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-06-01,2024-09-12
142,21410,Standort,413,2024-11-15,Ann,Stoll,Frau,2508,2024-06-01,2024-06-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-06-01,2024-09-12
135,21410,Organisation,2648,2024-11-15,Ann,Stoll,Frau,14030,2024-06-01,2024-06-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-09-13,2024-10-22
139,21410,Position,770,2024-11-15,Ann,Stoll,Frau,14030,2024-06-01,2024-06-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-09-13,2024-10-22
143,21410,Standort,413,2024-11-15,Ann,Stoll,Frau,14030,2024-06-01,2024-06-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-09-13,2024-10-22
124,21410,Job-Familie,2708,2024-11-15,Ann,Stoll,Frau,14030,2024-06-01,2024-06-01,False,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-10-23,2025-06-17
136,21410,Organisation,2648,2024-11-15,Ann,Stoll,Frau,14030,2024-06-01,2024-06-01,False,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-10-23,2025-06-17
140,21410,Position,770,2024-11-15,Ann,Stoll,Frau,14030,2024-06-01,2024-06-01,False,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-10-23,2025-06-17
144,21410,Standort,413,2024-11-15,Ann,Stoll,Frau,14030,2024-06-01,2024-06-01,False,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Liebeltring 41 98186, Pirmasens, DEU",2024-10-23,2025-06-17
146,21434,Organisation,535,2024-07-15,Elif,Adler,nan,255,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Gerard-Liebelt-Platz 070 22682, Kitzingen, DEU",2024-08-01,2025-06-17
148,21434,Position,743,2025-03-27,Elif,Adler,nan,255,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Gerard-Liebelt-Platz 070 22682, Kitzingen, DEU",2024-08-01,2025-06-17
151,21434,Standort,2839,2025-03-27,Elif,Adler,nan,255,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Gerard-Liebelt-Platz 070 22682, Kitzingen, DEU",2024-08-01,2024-09-30
150,21434,Standort,2698,2024-11-26,Elif,Adler,nan,255,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Gerard-Liebelt-Platz 070 22682, Kitzingen, DEU",2024-10-01,2025-06-17
145,21434,Job-Familie,2710,2025-03-27,Elif,Adler,nan,255,2024-08-01,2024-08-01,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Gerard-Liebelt-Platz 070 22682, Kitzingen, DEU",2024-10-23,2025-06-17
160,21475,Organisation,870,2025-05-30,Stilla,Baum,nan,2647,2024-07-15,2024-07-15,True,nan,"Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-07-12,2024-07-14
164,21475,Position,621,2025-05-30,Stilla,Baum,nan,2647,2024-07-15,2024-07-15,True,nan,"Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-07-12,2024-07-14
168,21475,Standort,420,2025-05-30,Stilla,Baum,nan,2647,2024-07-15,2024-07-15,True,nan,"Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-07-12,2024-07-14
161,21475,Organisation,870,2025-05-30,Stilla,Baum,nan,2647,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-07-15,2024-11-04
165,21475,Position,621,2025-05-30,Stilla,Baum,nan,2647,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-07-15,2024-11-04
169,21475,Standort,420,2025-05-30,Stilla,Baum,nan,2647,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-07-15,2024-11-04
153,21475,Job-Familie,2710,2025-05-30,Stilla,Baum,nan,2647,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-10-23,2024-11-04
154,21475,Job-Familie,2710,2025-05-30,Stilla,Baum,nan,2545,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-11-05,2025-05-29
162,21475,Organisation,870,2025-05-30,Stilla,Baum,nan,2545,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-11-05,2025-05-29
166,21475,Position,621,2025-05-30,Stilla,Baum,nan,2545,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-11-05,2025-05-29
170,21475,Standort,420,2025-05-30,Stilla,Baum,nan,2545,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2024-11-05,2025-05-29
155,21475,Job-Familie,2710,2025-05-30,Stilla,Baum,nan,47,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2025-05-30,2025-06-17
163,21475,Organisation,870,2025-05-30,Stilla,Baum,nan,47,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2025-05-30,2025-06-17
167,21475,Position,621,2025-05-30,Stilla,Baum,nan,47,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2025-05-30,2025-06-17
171,21475,Standort,420,2025-05-30,Stilla,Baum,nan,47,2024-07-15,2024-07-15,True,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna","Rose-Kraushaar-Weg 4/1 67300, Schwäbisch Gmünd, DEU",2025-05-30,2025-06-17
174,21569,Organisation,540,2024-08-30,Klaus-Werner,Höfig,Herr,14393,2024-10-01,2024-10-01,True,nan,"Niko-Knappe-Ring 219 58050, Oranienburg, DEU",2024-08-30,2024-09-30
178,21569,Position,459,2025-04-01,Klaus-Werner,Höfig,Herr,14393,2024-10-01,2024-10-01,True,nan,"Niko-Knappe-Ring 219 58050, Oranienburg, DEU",2024-08-30,2024-09-30
180,21569,Standort,1350,2025-04-01,Klaus-Werner,Höfig,Herr,14393,2024-10-01,2024-10-01,True,nan,"Niko-Knappe-Ring 219 58050, Oranienburg, DEU",2024-08-30,2024-09-30
177,21569,Organisation,1387,2025-04-01,Klaus-Werner,Höfig,Herr,14393,2024-10-01,2024-10-01,True,nan,"Wendeweg 07 78862, Gunzenhausen, DEU",2024-10-01,2025-06-17
